order_id,customer_id,product_id,category,price,quantity,order_date,country,payment_method,rating,returned,revenue
1,1175,649,Electronics,7.13,3,2022-08-23,USA,UPI,5.0,0,21.39
2,2220,523,Clothing,69.07,4,2022-10-01,USA,PayPal,1.0,1,276.28
3,1537,569,Clothing,245.49,5,2022-10-29,India,Debit Card,2.0,0,1227.45
4,3550,606,Beauty,28.22,2,2021-01-10,Germany,UPI,4.0,0,56.44
5,2603,226,Home,111.32,1,2022-09-09,Australia,UPI,5.0,1,111.32
6,1211,387,Clothing,117.18,3,2022-04-03,India,COD,4.0,0,351.54
7,1919,362,Home,112.31,2,2023-07-05,Australia,PayPal,5.0,0,224.62
8,2639,665,Home,68.7,4,2023-04-15,Germany,PayPal,5.0,0,274.8
9,2372,657,Electronics,90.18,4,2023-05-13,Germany,Credit Card,5.0,0,360.72
10,4257,767,Home,43.24,1,2024-09-06,USA,Credit Card,4.0,0,43.24
11,4470,219,Sports,132.8,3,2022-05-19,Germany,UPI,5.0,0,398.4
12,3583,616,Beauty,147.21,3,2022-06-02,India,COD,3.0,0,441.63
13,4656,237,Home,19.72,1,2021-04-24,USA,PayPal,5.0,0,19.72
14,1345,522,Beauty,65.86,2,2022-01-21,Canada,PayPal,3.0,0,131.72
15,1366,784,Sports,19.2,5,2024-05-24,Australia,Credit Card,3.0,0,96.0
16,3602,475,Clothing,71.89,2,2021-04-19,Germany,PayPal,4.0,0,143.78
17,3778,510,Electronics,77.82,2,2022-06-27,Germany,Debit Card,3.0,0,155.64
18,1904,601,Electronics,30.17,4,2022-06-30,Australia,COD,,0,120.68
19,4239,354,Electronics,48.24,1,2023-02-08,UK,UPI,1.0,0,48.24
20,3022,223,Electronics,26.29,2,2024-09-21,India,Debit Card,,0,52.58
21,2092,339,Clothing,31.89,3,2024-03-08,India,COD,4.0,1,95.67
22,2456,723,Clothing,9.12,4,2022-09-27,India,UPI,,0,36.48
23,2919,778,Beauty,119.89,5,2024-01-12,UK,Credit Card,5.0,1,599.45
24,1391,477,Clothing,27.63,4,2021-09-28,India,Debit Card,3.0,0,110.52
25,3988,784,Clothing,70.57,2,2023-02-21,UK,Debit Card,5.0,0,141.14
26,4584,350,Electronics,12.74,2,2022-03-28,UK,UPI,3.0,0,25.48
27,2099,748,Beauty,46.69,1,2024-07-28,Australia,COD,3.0,0,46.69
28,3871,573,Home,45.55,4,2024-09-11,Germany,PayPal,3.0,0,182.2
29,3298,324,Electronics,161.96,4,2023-12-04,India,UPI,1.0,1,647.84
30,4078,407,Home,63.8,5,2022-08-23,Australia,UPI,4.0,0,319.0
31,4859,393,Sports,127.87,3,2021-03-17,Canada,COD,2.0,0,383.61
32,4516,318,Home,27.34,3,2022-07-30,Canada,COD,3.0,0,82.02
33,4116,722,Beauty,89.84,4,2023-06-23,India,PayPal,1.0,0,359.36
34,4775,681,Books,42.96,4,2024-06-06,UK,Credit Card,3.0,0,171.84
35,2349,563,Sports,46.65,3,2021-06-09,India,Debit Card,3.0,0,139.95
36,4896,556,Beauty,93.61,4,2023-04-28,Germany,UPI,1.0,1,374.44
37,2176,661,Sports,120.23,3,2023-04-09,USA,PayPal,3.0,0,360.69
38,1183,417,Sports,17.9,1,2022-11-10,UK,UPI,5.0,0,17.9
39,3997,787,Clothing,51.69,3,2021-10-03,Canada,COD,4.0,0,155.07
40,4184,503,Home,115.16,4,2021-04-27,Canada,COD,4.0,0,460.64
41,1763,730,Electronics,122.98,5,2022-12-26,UK,UPI,3.0,0,614.9
42,4261,570,Sports,35.26,5,2023-05-19,India,Credit Card,4.0,0,176.3
43,1290,691,Clothing,136.02,3,2021-05-16,Canada,PayPal,5.0,0,408.06
44,1312,306,Home,101.63,5,2022-05-28,UK,PayPal,3.0,0,508.15
45,3249,329,Electronics,93.23,1,2022-04-13,Canada,Debit Card,4.0,0,93.23
46,2486,292,Home,120.32,2,2024-01-21,UK,PayPal,4.0,0,240.64
47,3598,417,Clothing,31.71,4,2021-10-28,UK,UPI,3.0,0,126.84
48,1772,262,Clothing,43.82,4,2023-03-01,Canada,COD,3.0,0,175.28
49,3542,204,Home,59.57,1,2022-02-06,UK,Credit Card,,0,59.57
50,2161,390,Clothing,153.5,4,2021-10-21,Germany,Debit Card,4.0,0,614.0
51,4927,596,Home,45.38,1,2023-06-17,Canada,COD,3.0,0,45.38
52,4555,224,Beauty,23.31,2,2024-01-15,Canada,Debit Card,1.0,0,46.62
53,2219,523,Home,70.22,5,2024-10-19,Australia,UPI,5.0,0,351.1
54,4144,731,Books,44.63,5,2024-02-29,Germany,COD,4.0,0,223.15
55,4923,511,Sports,159.12,5,2022-02-11,UK,Credit Card,4.0,1,795.6
56,1944,602,Books,55.05,5,2024-08-07,India,Debit Card,4.0,0,275.25
57,1257,637,Books,78.58,2,2021-03-06,Germany,Credit Card,5.0,0,157.16
58,2728,255,Home,127.9,4,2024-02-03,Australia,PayPal,4.0,0,511.6
59,3448,729,Home,95.69,2,2024-04-18,India,UPI,3.0,0,191.38
60,4446,500,Clothing,180.57,2,2024-01-22,Canada,UPI,2.0,0,361.14
61,2951,321,Beauty,93.17,2,2024-02-24,UK,Credit Card,4.0,0,186.34
62,2373,236,Sports,32.26,3,2022-01-16,Australia,Debit Card,4.0,0,96.78
63,3988,625,Home,17.35,3,2024-05-11,Australia,Credit Card,4.0,0,52.05
64,3652,385,Sports,33.89,5,2022-07-05,India,Debit Card,4.0,0,169.45
65,1764,447,Beauty,172.99,4,2023-08-08,USA,COD,2.0,0,691.96
66,2607,214,Books,256.4,1,2022-11-26,Germany,Debit Card,4.0,0,256.4
67,3327,251,Home,44.25,3,2024-02-07,Germany,UPI,4.0,0,132.75
68,4594,773,Books,70.33,5,2024-05-02,Canada,COD,2.0,1,351.65
69,3793,520,Home,70.38,3,2021-08-27,Germany,COD,4.0,1,211.14
70,3851,692,Books,180.98,3,2021-02-17,Germany,Credit Card,2.0,0,542.94
71,2472,214,Home,28.21,3,2024-07-21,Canada,Credit Card,1.0,0,84.63
72,2341,268,Books,44.29,5,2022-08-04,USA,Debit Card,3.0,0,221.45
73,2415,797,Electronics,65.26,2,2024-09-23,Australia,Credit Card,4.0,1,130.52
